task,model,evaluator,requested_or_class_accuracy,mean_confidence,robust_coverage,normalized_entropy,feature_fid,epsilon,delta,training_seconds
MNIST 0-9,DP-CVAE,LeNet,0.9491000175,0.9658331871,10,0.9987502348,499.4457607032,7.9997010564,0.00001,987.6987087727
MNIST 0-9,DP-CVAE,ConvNet,0.9451000094,0.9431164265,10,0.9981894479,334.4736114427,7.9997010564,0.00001,987.6987087727
MNIST 0-9,DP-ACWGAN-CP,LeNet,1.0000000000,0.9994840026,10,1.0000000000,464.9799664608,7.9949941715,0.00001,1112.2896785736
MNIST 0-9,DP-ACWGAN-CP,ConvNet,1.0000000000,0.9848483205,10,1.0000000000,513.5708008449,7.9949941715,0.00001,1112.2896785736
MNIST digit 8,DP-SGD + DCGAN,LeNet,1.0000000000,0.9997733235,1,0.0000000000,865.3556899431,1.9323883243,0.00001,45.5943508148
MNIST digit 8,DP-SGD + DCGAN,ConvNet,1.0000000000,0.9984008074,1,0.0000000000,637.8334767815,1.9323883243,0.00001,45.5943508148
MNIST digit 8,DP-CVAE,LeNet,0.9995999932,0.9933944345,1,0.0016532710,1124.8387747787,7.9944346797,0.00001,106.5255239010
MNIST digit 8,DP-CVAE,ConvNet,1.0000000000,0.9987861514,1,0.0000000000,463.6127615246,7.9944346797,0.00001,106.5255239010
MNIST digit 8,DP-WGAN-CP,LeNet,0.9703999758,0.9770322442,2,0.0783961298,309.0599027819,7.9985248298,0.00001,96.3645277023
MNIST digit 8,DP-WGAN-CP,ConvNet,0.9829999804,0.9752169847,1,0.0485965170,140.1467442506,7.9985248298,0.00001,96.3645277023
MNIST digit 8,DP-CVAE (epsilon 1.9),LeNet,0.9998999834,0.9826408029,1,0.0004434273,1539.1700901600,1.8995035250,0.00001,114.7270424366
MNIST digit 8,DP-CVAE (epsilon 1.9),ConvNet,1.0000000000,0.9989176989,1,0.0000000000,599.5266470379,1.8995035250,0.00001,114.7270424366
MNIST digit 8,DP-WGAN-CP (epsilon 1.9),LeNet,1.0000000000,0.9999729395,1,0.0000000000,690.9210670583,1.8977188239,0.00001,94.8034052849
MNIST digit 8,DP-WGAN-CP (epsilon 1.9),ConvNet,1.0000000000,0.9999755621,1,0.0000000000,904.1796037464,1.8977188239,0.00001,94.8034052849
