epoch,loss,reconstruction_loss,kl_loss,beta,epsilon,duration_seconds
1,0.5291608606379831,0.5229709099999184,0.9903928622961898,0.00625,0.2999002209823831,3.7738893032073975
2,0.33845963037642923,0.32648706525711757,0.957805619867503,0.0125,0.4057329916699794,2.4413726329803467
3,0.28975126721293726,0.28002254219851264,0.5188655089810006,0.018750000000000003,0.49500224343942323,3.841106414794922
4,0.2748816565764561,0.2672550432863762,0.3050643485080396,0.025,0.5714818054381805,2.956911087036133
5,0.26814983564972245,0.2618700341374751,0.20095372924228588,0.03125,0.639463634974847,2.8577802181243896
6,0.26083581749240076,0.25516466639897234,0.15123048646817794,0.037500000000000006,0.7016664257277916,3.1013755798339844
7,0.25862334990987973,0.25277679728812913,0.13363558743275752,0.043750000000000004,0.7591030541803957,3.221170425415039
8,0.25574078671531575,0.2496305694264814,0.12220437713891022,0.05,0.8129758575759956,3.165595769882202
9,0.2538158579103006,0.24769470293444165,0.12242308099453886,0.05,0.8639528318972083,2.562702178955078
10,0.25151773128989297,0.245285010032012,0.1246544073645957,0.05,0.9126139061765614,2.3430027961730957
11,0.24917915605072283,0.2428272234272753,0.12703861301780767,0.05,0.9588702340189531,2.3690335750579834
12,0.24913996350284412,0.24211210236264202,0.14055716179010766,0.05,1.0030957066440243,2.2589187622070312
13,0.24704303466900238,0.2396700979389446,0.14745874283780092,0.05,1.0465322333859686,2.300311803817749
14,0.24533483034234843,0.23838567442615774,0.13898307125474577,0.05,1.087251258156745,2.387540817260742
15,0.24399176431358408,0.23700126124971854,0.1398100190165135,0.05,1.1279013055219083,2.392146110534668
16,0.2439685716481299,0.2365602726370045,0.14816596298743032,0.05,1.1662634663455402,2.332996368408203
17,0.24253919090566628,0.2348754683130862,0.15327445152744318,0.05,1.2041595086035175,2.511850595474243
18,0.24095218997284829,0.23299171327626522,0.15920956102560874,0.05,1.241623863494326,2.5613784790039062
19,0.24137525394359466,0.23336600030626853,0.1601851206540274,0.05,1.2767975631869313,2.4140822887420654
20,0.24008311801342694,0.23190078204543527,0.16364670382398874,0.05,1.3119712628795368,2.732654571533203
21,0.238689604578249,0.23062996076559109,0.161192892978418,0.05,1.347144962572142,2.8798060417175293
22,0.23905969287605802,0.23062084829140173,0.1687768830745884,0.05,1.3802312804211905,3.1250765323638916
23,0.23698168966468985,0.2286287939168949,0.16705786206468415,0.05,1.4127135218970541,4.024273633956909
24,0.23788194541354443,0.2294525731616298,0.16858749882118274,0.05,1.4451957633729178,2.9584717750549316
25,0.23717001272164545,0.22860722997716676,0.17125568230892776,0.05,1.4776780048487814,3.5801403522491455
26,0.23608190899348028,0.2271876537612512,0.1778851091084533,0.05,1.5090615506153087,2.6897881031036377
27,0.23580470245418603,0.22684248289828454,0.17924436475815292,0.05,1.5388824715540224,2.8688509464263916
28,0.23449664429733638,0.22531245355676918,0.18368375484633268,0.05,1.568703392492736,2.894704580307007
29,0.2341684716695484,0.22492481462063108,0.1848731145744898,0.05,1.5985243134314497,2.5229804515838623
30,0.23288698825260953,0.2236856761834227,0.18402622545937455,0.05,1.6283452343701634,2.8177595138549805
31,0.23281836979096227,0.22337527640887206,0.18886185275075879,0.05,1.6581661553088771,2.9353325366973877
32,0.23250795838680238,0.2231475619932626,0.18720787648007373,0.05,1.6870820807592306,2.5469980239868164
33,0.23252904407199193,0.22290210888850553,0.19253870303521375,0.05,1.7140095032387674,3.4194090366363525
34,0.2312765126267595,0.22141514616119945,0.1972273305932367,0.05,1.7409369257183047,2.9354968070983887
35,0.23078933211992372,0.22107622725681417,0.19426212670668117,0.05,1.7678643481978416,3.1424853801727295
36,0.2318408305516432,0.22212098548760684,0.19439684612691394,0.05,1.7947917706773788,2.5945560932159424
37,0.23076492403395413,0.2204991408756801,0.20531563424678503,0.05,1.8214147764065785,3.0895133018493652
38,0.22986912706634718,0.21941599654421978,0.20906263265571615,0.05,1.8477349352805872,3.015350341796875
39,0.23001934766525212,0.21928734452132684,0.21464006287850548,0.05,1.8737618620531802,2.4103150367736816
40,0.22983035907513752,0.21906174760364724,0.21537222225319042,0.05,1.899503524998805,2.411452293395996
