epoch,discriminator_loss,generator_loss,d_real,d_fake_before_g,d_fake_after_g,epsilon,delta,duration_seconds
1,2.0994945077792457,0.34624126488747803,0.6284929358440897,0.7753981228755868,0.7171527237995811,0.7709657048642197,1e-05,6.039316177368164
2,1.8608903081520745,0.6121190614674402,0.3856807467730149,0.5722143491325171,0.5446432019057481,0.9740816519817067,1e-05,4.484091281890869
3,1.4412416478861934,0.7689443230628967,0.47858389078275015,0.4945544072467348,0.464425760442796,1.136706758079591,1e-05,4.521048069000244
4,1.4282756745815277,0.7972555348406667,0.477153154818908,0.483416683000067,0.45190357060536096,1.2784494718247055,1e-05,4.405389785766602
5,1.368057870346567,0.7961851928545081,0.5207017954924832,0.4899482127764951,0.45317779643380124,1.4065037164100391,1e-05,4.341822385787964
6,1.4814730480961178,0.7523820497419523,0.46370605670887494,0.4976197322425635,0.4729173108935356,1.5245746450787712,1e-05,4.327765226364136
7,1.3722891794598622,0.7913994154204493,0.5008012354373932,0.48253949278074765,0.4557526464695516,1.6349057866432655,1e-05,4.342022895812988
8,1.4103363169276195,0.7646050738251727,0.4881850098786147,0.48969205080167105,0.468656032629635,1.7389910590177944,1e-05,4.241774797439575
9,1.332156474823537,0.8187945886798527,0.5175352857812591,0.4732691982518072,0.44647567719221115,1.8378899143028338,1e-05,4.312854528427124
10,1.5195877694565316,0.7118974988875182,0.46694243310586264,0.51605491599311,0.49417584130297537,1.9323883243434377,1e-05,4.270523309707642
